Class Name,Subject Name,Chapter Name
Class 5,English,1.Navaratri -- The Nine- day Festival
Class 5,English,14. The daman and Diu Connect
Class 5,English,12. Dr S Radhakrishnan - A great Teacher
Class 5,English,9. Make a Finger- Puppet
Class 5,English,10. A Telephone Call
Class 5,English,5. Saving Wastage
Class 5,English,6. Lighting up Lives
Class 5,English,2. The Magic Of Mehendi
Class 5,English,17. Homework
Class 5,English,15. The Itinerary
Class 5,English,16. What a Fligh!
Class 5,English,18. Books (Poem)
Class 5,English,1. Plants: Increasing the numbers
Class 5,English Grammar,30. Word Power
Class 5,English Grammar,10. Simple Past Tense
Class 5,English Grammar,21. Adverbs and Their Types
Class 5,English Grammar,12. Simple Future Tense
Class 5,English Grammar,13. Future Continuous Tense
Class 5,English Grammar,18. Articles
Class 5,English Grammar,16. Subject and Predicate
Class 5,English Grammar,29. Using a dictonary
Class 5,English Grammar,20. Degrees of Comparison
Class 5,English Grammar,27. Contractions
Class 5,English Grammar,22. Types of Prepositions
Class 5,English Grammar,Singular and Plural Nouns
Class 5,English Grammar,1.Nouns and Their Types
Class 5,English Grammar,28. Punctuation
Class 5,English Grammar,14. The `Going  to ` Form
Class 5,English Grammar,26. Interrogative Sentences
Class 5,English Grammar,25. Negative Sentences
Class 5,English Grammar,11. Past Continuous Tense
Class 5,English Grammar,17. Subject-Verb Agreement
Class 5,English Grammar,19. Adjectives nd Their Types
Class 5,English Grammar,15. Modals
Class 5,English Grammar,23. Conjunction
Class 5,English Grammar,24. Sentence and its Types
Class 5,English Grammar,3. Nouns: Gender
Class 5,English Grammar,8. Present Continuous Tense
Class 5,English Grammar,9. Present Perfect Tense
Class 5,English Grammar,4. Possessive Nouns
Class 5,English Grammar,6. Verbs
Class 5,English Grammar,7. Simple Present Tense
Class 5,English Grammar,5. Pronouns and Their Types
Class 5,English Grammar,32. Composition
Class 5,English Grammar,31. Reading Comprehension
Class 5,Mathematics,8. Basic Geometry
Class 5,Mathematics,10. Measurement
Class 5,Mathematics,"7. Money-Unitary Method, Profit and Loss"
Class 5,Mathematics,Decimals
Class 5,Mathematics,"11. Perimeter, Area and Volume"
Class 5,Mathematics,12. Time and Temperature
Class 5,Mathematics,1. Large Numbers
Class 5,Mathematics,2. The four operations
Class 5,Mathematics,3. Factors and multiples
Class 5,Mathematics,4. Fractions
Class 5,Mathematics,13. Mapping Skills
Class 5,Mathematics,"9. Symmetry, Pattern and Nets"
Class 5,Mathematics,14. Data Handling
Class 5,Mathematics,6. Percentage
Class 5,Draw,17. SCARECROW
Class 5,Draw,24. HALF AND HALF
Class 5,Draw,26 GRID DRAWING
Class 5,Draw,20. HIDDEN PICTURE
Class 5,Draw,13. LEAF PASTING
Class 5,Draw,15. COLOUR BY CODE
Class 5,Draw,22. SPOT THE DIFFERENCES
Class 5,Draw,18. JOIN THE NUMBERS
Class 5,Draw,21. TWO FRIENDS
Class 5,Draw,12. FORK IMPRESSIONS
Class 5,Draw,10. STEP- BY STEP DOG
Class 5,Draw,11. MOTU BEAR
Class 5,Draw,7. CASTLE
Class 5,Draw,5. PTTERNED JOKER
Class 5,Draw,3. LITTLE MERMAID
Class 5,Draw,1. THE NUMBER FIVE
Class 5,Draw,6. BEAUTIFUL GIRL
Class 5,Draw,2. HELICOPTER
Class 5,Draw,4. OUR EARTH
Class 5,Draw,37. STEP- BY - STEP  BEAR
Class 5,Draw,35. TEAR AND PASTE
Class 5,Draw,36. GLITTER PASTING
Class 5,Draw,34. CRAFTWORK :WALL DECOR
Class 5,Draw,31. BEAUTIFUL CENERY
Class 5,Draw,33. THERMOCOL BALL PASTING
Class 5,Draw,30. PAPER ROCKET
Class 5,Draw,32. PENCIL ERASER STAMPING
Class 5,Draw,28. RICE AND PULSES PASTING
Class 5,Draw,38. WARLI   ART
Class 5,Draw,29. WOOL PASTING
Class 5,Draw,27. COTTON BUD IMPRESSIONS
Class 5,Draw,23. AIR BLOW PAINTING
Class 5,Draw,14. PAPER CENTRE TABLE
Class 5,Draw,25. SKETCH-PEN -TIP IMPRESSIONS
Class 5,Draw,19. CRAFTY HANDBAG
Class 5,Draw,9. CUTE BUNNY
Class 5,Draw,8. MAZE FUN
Class 5,Draw,TEA LEAVES PASTING
Class 5,Sanskrit,अकारांत नपुंसकलिंग शब्दाः
Class 5,Sanskrit,5. सुभाषित - वाचनाम्रितम
Class 5,Sanskrit,1. वंदना
Class 5,Sanskrit,3. अकारांत पुल्लिंग शब्दाः
Class 5,Sanskrit,4. अकारांत स्त्रीलिंग शब्दाः
Class 5,Sanskrit,2. संस्कृत वर्णमाला
Class 5,Science,15. Changes In Our Environment
Class 5,Science,8. Green pages
Class 5,Science,1. Plants: Increasing the numbers
Class 5,Science,2. Food and Health
Class 5,Science,"5. Solid, Liquids and Gases"
Class 5,Science,7. Rocks and Minerals
Class 5,Science,3. Safety and First Aid
Class 5,Science,4. Houses all Around
Class 5,Science,6. Soil Erosion and Conservation
Class 5,Science,11. Force and Energy
Class 5,Science,12. Our Life Supports
Class 5,Science,13. Our Earth`s Natural Satellite
Class 5,Science,8. Animals Everywhere
Class 5,Science,9. Our Skeleton System
Class 5,Science,10. Our Nervous System
Class 5,Science,14. Natural Disasters
Class 5,Conversation,22. Our Social Reformers
Class 5,Conversation,24. The System of Justice
Class 5,Conversation,23. The Hobby of Dance
Class 5,Conversation,1. Buying a shirt
Class 5,Conversation,20. Our National Anthem
Class 5,Conversation,16. Deficiency Diseases
Class 5,Conversation,19. Our National Flag
Class 5,Conversation,21. Our Religious Faiths
Class 5,Conversation,3. Talking About Books
Class 5,Conversation,2. School`s Sport`s Day
Class 5,Conversation,14. Minerals
Class 5,Conversation,7. Enjoying Breakfast
Class 5,Conversation,12. The Food We Should Eat
Class 5,Conversation,13. In A Restaurant
Class 5,Conversation,17. Aims and Ambitions
Class 5,Conversation,18. Our National emblem
Class 5,Conversation,9. Request for a Fire Engine
Class 5,Conversation,15. A Telephonic Message
Class 5,Conversation,11. Watching A Movie
Class 5,Conversation,8. Visiting a Museum
Class 5,Conversation,10. A Road Accident
Class 5,Conversation,5. In a zoo
Class 5,Conversation,4. A Dog in Distress
Class 5,Conversation,6. A Friend in Need
Class 5,GK,28. Boat Pose
Class 5,GK,32. Upward Plank Pose
Class 5,GK,30. Seated Wide-Angle  Pose
Class 5,GK,33. Cobra Pose
Class 5,GK,29. Half Handstand Pose
Class 5,GK,35. Birsa Munda :The Voice of the Trible Rebellion
Class 5,GK,36. Empowering Women: A Path Way towards Progress
Class 5,GK,34. Bridge Pose
Class 5,GK,24. Extreme Sport`s
Class 5,GK,31. Eagle Pose
Class 5,GK,27. Modified Side Plank Pose
Class 5,GK,25. Sports
Class 5,GK,26. Jumps
Class 5,GK,The Story of Inventions
Class 5,GK,7. Champion Plants
Class 5,GK,1. A new Beginning
Class 5,GK,3. The Seven Summits
Class 5,GK,2. What to do when you're New
Class 5,GK,5. Rocks and Minerals
Class 5,GK,4. Oceans
Class 5,GK,12. Prehistoric Life
Class 5,GK,8. The world of Birds
Class 5,GK,6. How plants Work
Class 5,GK,10. Homes
Class 5,GK,11. World War 1 and 2
Class 5,GK,9. The world of Insects
Class 5,GK,17. India's First Sea Bridge
Class 5,GK,20. Navigating at Sea
Class 5,GK,21. Neptune
Class 5,GK,18. The Story of Energy
Class 5,GK,16. Hospital for Plants
Class 5,GK,15. Great Indian Rulers
Class 5,GK,14. Indian Monuments
Class 5,GK,13. Indian Superlatives
Class 5,GK,22. Early People
Class 5,GK,23. Clothes and Fashion
Class 5,Sst,16. Famous People of the World
Class 5,Sst,14. Natural Disasters
Class 5,Sst,13. Environment
Class 5,Sst,15. Health and science
Class 5,Sst,17. The United Nations
Class 5,Sst,18. The British Rule and 1857 War of Independence
Class 5,Sst,19. Our Freedom Movement (1857-1947)
Class 5,Sst,20. Political Administration of India
Class 5,Sst,1. The Globe: A Model of The Earth
Class 5,Sst,2. Maps : Our Guides
Class 5,Sst,3. Major Landforms
Class 5,Sst,4. Natural Resources
Class 5,Sst,7. Land of Ice and snow (Greenland  - Frigid Zone
Class 5,Sst,5. Climate
Class 5,Sst,6. Land of Dense Forests (Zaire)
Class 5,Sst,8. Life in desert ;Saudi Arabia
Class 5,Sst,9. Temperature Grasslands :Prairies
Class 5,Sst,10. Conquering Distances
Class 5,Sst,11. Communication
Class 5,Sst,11. Communication
Class 5,Sst,12.  The World of Growing Knowledge
Class 5,Computer,2. Managing Files and Folders
Class 5,Computer,7. Programming with scratch
Class 5,Computer,4. More on Powerpoint
Class 5,Computer,6. Working with Email
Class 5,Computer,5. Starting Excel 2016
Class 5,Computer,12. Healthy and safe Living
Class 5,Computer,Ll
Class 5,Computer,9. Robots and Ai
Class 5,Computer,Test sheet 2
Class 5,Computer,11. Project work
Class 5,Computer,8. Creating Games with scratch
Class 5,Computer,1. Generations of Computers
Class 5,Computer,3. Tables and Mail Merge
Class 5,Science,11. Force and Energy
Class 5,Science,12. Our Life Supports
Class 5,Science,10. Our Nervous system
Class 5,Science,1. Plants:Increasing The Numbers
Class 5,Science,2. Food and Health
Class 5,Science,3. Safety and First Aid
Class 5,Science,9. Our Skeleton System
Class 5,Science,14. Natural Disasters
Class 5,Science,13. Our Earth's Natural Satellite
Class 5,Science,8.Animals Everywhere
Class 5,Science,7. Rocks and Minerals
Class 5,Science,6. Soil Erosion And Conservation
Class 5,Science,4. Houses All  Around
Class 5,Science,5. Solid Liquid and Gases
Class 5,Science,15. Changes In Our Environment
Class 6,Hindi Grammar,"1.भाषा,बोली ,लिपि और व्याकरण"
Class 6,Hindi Grammar,2.वर्ण विचार और उच्चारण
Class 6,Hindi Grammar,3.संधि
Class 6,English Grammar,Chapter 13 : Continuous Tenses
Class 6,English Grammar,Chapter 8 : Verbs
Class 6,English Grammar,Chapter 4 : Nouns: Case
Class 6,English Grammar,Chapter 3 : Nouns: Gender
Class 6,English Grammar,Chapter 5 : Articles
Class 6,English Grammar,Chapter 6 : Adjectives
Class 6,English Grammar,Chapter 2 : Singular and plural Nouns
Class 6,English Grammar,Chapter 1 : Nouns
Class 6,English Grammar,Chapter 21 : Prepositions
Class 6,English Grammar,Chapter 20 : Types of Pronouns
Class 6,English Grammar,Chapter 11 : The Tense
Class 6,English Grammar,Chapter 12 : Simple Tenses
Class 6,English Grammar,Chapter 18 : Adverbs of comparison
Class 6,English Grammar,Chapter 22 : More on Prepositions
Class 6,English Grammar,Chapter 15 : Active and Passive voice
Class 6,English Grammar,"Chapter 19 : Personal Pronouns: Number, Gender and case"
Class 6,English Grammar,Chapter 16 : Subject - Verb Agreement
Class 6,English Grammar,"Chapter 9 : Auxiliary Verbs, Including Modals"
Class 6,English Grammar,Chapter 10 : Subject and Predicate
Class 6,English Grammar,Chapter 23 : Conjunctions
Class 6,English Grammar,Chapter 17 : Adverbs
Class 6,English Grammar,Chapter 28 : Interjections
Class 6,English Grammar,Chapter 7 : Adjectives: Degree of comparison
Class 6,English Grammar,Chapter 26 : Punctuation
Class 6,English Grammar,Chapter 27 : Short Forms - Contractions
Class 6,English Grammar,Chapter 14 : Perfect Tenses
Class 6,English Grammar,Chapter 25 : Direct and indirect speech
Class 6,English Grammar,Chapter 24 : Sentence and Its Kinds
Class 6,Science,1.THE WONDERFUL WORLD OF SCIENCE
Class 6,Science,2.DIVERSITY IN THE LIVING WORLD
Class 6,Science,3.MINDFUL EATING: A  PATH TO A HEALTHY BODY
Class 6,Sst,1.Mapping the World
Class 6,Sst,2.Exploring Oceans and Continents
Class 6,Sst,3.Terrains and Life
Class 6,Sst,4.History:Our Past
Class 6,Computer,1. Number System
Class 6,Computer,2.Working on Data in  Excel
Class 6,Computer,3.Layers and Animation in Krita
Class 6,Computer,"4.Cybercrime, Ethics and Security"
Class 6,Gk,1.Bridge the Wide Gap
Class 6,Gk,2.Living Smart Life
Class 6,Gk,3. Personality Development
Class 6,Gk,4.Similar or Different
Class 6,Gk,5.Kingdom of the Ocean
Class 6,Gk,6.Non-Flowering Trees and Plant
Class 6,Gk,7. Waterbirds
Class 6,Gk,8.Indian national Awards
Class 6,Gk,9.Indian Sobriquets
Class 6,Draw,23.At the Reservation Window
Class 6,Conversation,1.Buying Footwear
Class 6,Conversation,2.Birthday Celebration
Class 6,Conversation,3.Mother's Ailment
Class 6,Conversation,4. Speaking the Truth
Class 7,Hindi Grammar,"1. भाषा, बोली लिपि और व्याकरण"
Class 7,Hindi Grammar,2. वर्ण विचार और उच्चारण
Class 7,Hindi Grammar,3. संधि
Class 7,Hindi Grammar,4. पर्यायवाची  शब्द
Class 7,English Grammar,1. NOUNS
Class 7,English Grammar,2. ARTICLES
Class 7,English Grammar,3. ADJECTIVES
Class 7,English Grammar,4. MORE ON ADJECTIVES
Class 7,Mathematics,1. TNTEGER
Class 7,Mathematics,2. FRACTIONS
Class 7,Mathematics,3. DECIMALS
Class 7,Mathematics,4. RATIONAL NUMBER
Class 7,Science,1. STRUCTURE OF MATTER
Class 7,Science,"2. SUBSTANCES: ACIDIC, BASIC AND NATURAL"
Class 7,Science,3. ELECTRICITY: CIRCUITS AND THEIR COMPONENTDS
Class 7,Science,4. THE WORLD  OF METALS AND NON-METALS
Class 7,Sanskrit,1. वंदना
Class 7,Sanskrit,2. पुस्तकालय:
Class 7,Sanskrit,3. वैज्ञानिक उपकरणानि
Class 7,Sanskrit,4. गंतन्त्रदिवास
Class 7,Conversation,16. The Traffic Code
Class 7,Conversation,1. Favourite TV Programme
Class 7,Conversation,2. A School Cricket Match
Class 7,Conversation,3. Celebrating Eid
Class 7,Hindi,1. प्रकृति की शोभा
Class 7,Hindi,2. राब  की मटकी
Class 7,Hindi,3. अग्नि की उड़ान
Class 7,Sst1,1. Geographical Diversity of India
Class 7,Sst1,2. Exploring the weather
Class 7,Sst1,3. Understanding the Indian Climate
Class 7,Sst1,4. cities and States; The pill of Early Political life
Class 7,Sst1,5.Understanding the Empires
Class 7,Sst1,6.The Age of Reorganisation
Class 7,Sst1,7.Political Developments(Gupta Empire)
Class 7,Sst1,8.Sacred Land and Reverence
Class 7,Sst1,9.Understitution of india-An introduction
Class 7,Sst1,10. The Constitution  of India -an Introduction
Class 7,Sst1,11. The Journey of Trade ; from Barter to Money
Class 7,Sst1,12. Understanding Market
Class 7,Sst2,1. From Fields to food ; The journey of Indian Farming
Class 7,Sst2,2. India and its Neighbouring Countries
Class 7,Sst2,3. Empires and Kingdoms : 6th to 10th Centuries
Class 7,Sst2,4. A Changing Era :11th and 12th Centuries
Class 8,Hindi,1. हिंदुस्तान
Class 8,Hindi,2. भाड़ में भुनी हवेली
Class 8,Hindi,3. आखिर कितनी जमीन
Class 8,Hindi,4. सागर से बनारस तक
Class 8,Hindi Grammar,"1. भाषा ,बोली, लिपि और व्याकरण"
Class 8,Hindi Grammar,2. वर्ण-विचार और उच्चारण
Class 8,Hindi Grammar,3. संधि
Class 8,Hindi Grammar,4. पर्यावाची  शब्द
Class 8,Sst 1,The Parliamentary System: Legislature and Executive
Class 8,Sst 1,The Colonial Era in India
Class 8,Sst 1,Reshaping India's Political Map
Class 8,Sst 1,India's Electoral System
Class 8,Sst 1,Natural Resources and Their Sustainable Use
Class 8,Sst 1,The Rise of the Marathas
Class 8,Sst 1,Understanding the Factors of Production
Class 8,Science,Chapter 1
Class 8,Science,Chapter 2
Class 8,Science,Chapter 4
